game_id,season,game_type,game_date,start_time_utc,eastern_utc_offset,game_state,venue,home_abbrev,away_abbrev,home_score,away_score,winner_abbrev,loser_abbrev,goal_diff
2024020216,20242025,2,2024-11-07,2024-11-08T01:00:00Z,-05:00,OFF,American Airlines Center,DAL,CHI,3.0,1.0,DAL,CHI,2.0
2024020217,20242025,2,2024-11-07,2024-11-08T01:00:00Z,-05:00,OFF,Canada Life Centre,WPG,COL,1.0,0.0,WPG,COL,1.0
2024020218,20242025,2,2024-11-07,2024-11-08T03:30:00Z,-05:00,OFF,Crypto.com Arena,LAK,VAN,2.0,4.0,VAN,LAK,2.0
2024020219,20242025,2,2024-11-07,2024-11-08T03:30:00Z,-05:00,OFF,SAP Center at San Jose,SJS,MIN,2.0,5.0,MIN,SJS,3.0
2024020220,20242025,2,2024-11-08,2024-11-09T00:00:00Z,-05:00,OFF,Scotiabank Arena,TOR,DET,3.0,1.0,TOR,DET,2.0
2024020221,20242025,2,2024-11-08,2024-11-09T00:30:00Z,-05:00,OFF,Capital One Arena,WSH,PIT,2.0,4.0,PIT,WSH,2.0
2024020222,20242025,2,2024-11-08,2024-11-09T03:00:00Z,-05:00,OFF,Honda Center,ANA,MIN,2.0,5.0,MIN,ANA,3.0
2024020223,20242025,2,2024-11-08,2024-11-09T03:00:00Z,-05:00,OFF,Climate Pledge Arena,SEA,VGK,4.0,3.0,SEA,VGK,1.0
2024020224,20242025,2,2024-11-09,2024-11-09T18:00:00Z,-05:00,OFF,KeyBank Center,BUF,CGY,3.0,2.0,BUF,CGY,1.0
2024020225,20242025,2,2024-11-09,2024-11-09T23:00:00Z,-05:00,OFF,Amerant Bank Arena,FLA,PHI,4.0,3.0,FLA,PHI,1.0
2024020226,20242025,2,2024-11-09,2024-11-10T00:00:00Z,-05:00,OFF,TD Garden,BOS,OTT,2.0,3.0,OTT,BOS,1.0
2024020227,20242025,2,2024-11-09,2024-11-10T00:00:00Z,-05:00,OFF,Scotiabank Arena,TOR,MTL,4.0,1.0,TOR,MTL,3.0
2024020228,20242025,2,2024-11-09,2024-11-10T00:00:00Z,-05:00,OFF,Little Caesars Arena,DET,NYR,0.0,4.0,NYR,DET,4.0
2024020229,20242025,2,2024-11-09,2024-11-10T00:00:00Z,-05:00,OFF,Enterprise Center,STL,WSH,1.0,8.0,WSH,STL,7.0
2024020230,20242025,2,2024-11-09,2024-11-09T20:00:00Z,-05:00,OFF,Canada Life Centre,WPG,DAL,4.0,1.0,WPG,DAL,3.0
2024020231,20242025,2,2024-11-09,2024-11-10T00:30:00Z,-05:00,OFF,UBS Arena,NYI,NJD,3.0,4.0,NJD,NYI,1.0
2024020232,20242025,2,2024-11-09,2024-11-10T01:00:00Z,-05:00,OFF,Bridgestone Arena,NSH,UTA,4.0,0.0,NSH,UTA,4.0
2024020233,20242025,2,2024-11-09,2024-11-10T02:00:00Z,-05:00,OFF,Ball Arena,COL,CAR,6.0,4.0,COL,CAR,2.0
2024020234,20242025,2,2024-11-09,2024-11-10T02:00:00Z,-05:00,OFF,Crypto.com Arena,LAK,CBJ,5.0,2.0,LAK,CBJ,3.0
2024020235,20242025,2,2024-11-09,2024-11-10T03:00:00Z,-05:00,OFF,Rogers Arena,VAN,EDM,3.0,7.0,EDM,VAN,4.0
2024020236,20242025,2,2024-11-10,2024-11-11T00:00:00Z,-05:00,OFF,Prudential Center,NJD,SJS,0.0,1.0,SJS,NJD,1.0
2024020237,20242025,2,2024-11-10,2024-11-11T00:00:00Z,-05:00,OFF,United Center,CHI,MIN,2.0,1.0,CHI,MIN,1.0
2024020238,20242025,2,2024-11-10,2024-11-11T01:00:00Z,-05:00,OFF,Honda Center,ANA,CBJ,4.0,2.0,ANA,CBJ,2.0
2024020239,20242025,2,2024-11-11,2024-11-11T17:30:00Z,-05:00,OFF,KeyBank Center,BUF,MTL,5.0,7.0,MTL,BUF,2.0
2024020240,20242025,2,2024-11-11,2024-11-12T00:00:00Z,-05:00,OFF,Wells Fargo Center,PHI,SJS,4.0,3.0,PHI,SJS,1.0
2024020241,20242025,2,2024-11-11,2024-11-12T00:00:00Z,-05:00,OFF,PPG Paints Arena,PIT,DAL,1.0,7.0,DAL,PIT,6.0
2024020242,20242025,2,2024-11-11,2024-11-12T01:30:00Z,-05:00,OFF,Scotiabank Saddledome,CGY,LAK,3.0,1.0,CGY,LAK,2.0
